,numCTs,unitProt,numVariantsGDA,HPOClass,type,evidenceIndexGDA,numDiseasesAssociatedToGene,geneNcbiID,numPMIDs,evidenceLevelGDA,geneEnsemblIDs,geneNcbiType,geneDSI,geneFullName,genePLI,diseaseUMLSCUI,disease,gene,numVariantsAssociatedToGene,numberPmidsWithChemsIncludedInEvidence,lastRef,numberChemsIncludedInEvidence,pathwayNames,geneDPI,pathwayIDs,numVariantsDisease,proteinClass,DOClass,diseaseClass,semanticType,numGenesDisease,firstRef,scoreGDA
,1,"Q86YN6,B7ZM40",0,Growth abnormality (01507),disease,0.769230769230769,5,133522,1,,ENSG00000155846,protein-coding,0.57,PPARG coactivator 1 beta,0.99973,C0028754,Obesity,PPARGC1B,16,0,2019,0,"Developmental Biology,Metabolism,Organelle biogenesis and maintenance,Gene expression (Transcription)",0.78,"R-HSA-1266738,R-HSA-1430728,R-HSA-1852241,R-HSA-74160",345,Transcription factor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2019,0.9
,3,"P01019,B2R5S1,B0ZBE2",0,Growth abnormality (01507),disease,0.870967741935484,108,183,0,,ENSG00000135744,protein-coding,0.34,angiotensinogen,0.000000016654,C0028754,Obesity,AGT,74,0,,0,"Metabolism,Signal Transduction,Metabolism of proteins",0.96,"R-HSA-1430728,R-HSA-162582,R-HSA-392499",345,Enzyme modulator,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,4,"G8XRH4,L0E130,B8K2Q5,G8XRH5,P35372",0,Growth abnormality (01507),disease,1,43,4988,0,,ENSG00000112038,protein-coding,0.45,opioid receptor mu 1,0.00000041408,C0028754,Obesity,OPRM1,16,0,,0,"Signal Transduction,Immune System,Gene expression (Transcription)",0.96,"R-HSA-162582,R-HSA-168256,R-HSA-74160",345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,2,P16860,0,Growth abnormality (01507),disease,0.837837837837838,41,4879,0,,ENSG00000120937,protein-coding,0.39,natriuretic peptide B,0.000018925,C0028754,Obesity,NPPB,1,0,,0,,0.91,,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,4,P41968,0,Growth abnormality (01507),disease,0.789473684210526,2,4159,0,,ENSG00000124089,protein-coding,0.63,melanocortin 3 receptor,0.00058423,C0028754,Obesity,MC3R,3,0,,0,"Developmental Biology,Signal Transduction",0.74,"R-HSA-1266738,R-HSA-162582",345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,4,"P05305,Q6FH53",0,Growth abnormality (01507),disease,0.877551020408163,74,1906,0,,ENSG00000078401,protein-coding,0.35,endothelin 1,0.0044888,C0028754,Obesity,EDN1,9,0,,0,"Developmental Biology,Signal Transduction",0.96,"R-HSA-1266738,R-HSA-162582",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,2,"A0N0L5,A0A087WTB5,P08887",0,Growth abnormality (01507),disease,0.9,26,3570,0,,ENSG00000160712,protein-coding,0.42,interleukin 6 receptor,0.000000067914,C0028754,Obesity,IL6R,33,0,,0,"Developmental Biology,Signal Transduction,Disease,Immune System",0.87,"R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,2,"E5KQF6,E5KQF5,P04150,F1D8N4",0,Growth abnormality (01507),disease,0.830769230769231,41,2908,0,,ENSG00000113580,protein-coding,0.37,nuclear receptor subfamily 3 group C member 1,1,C0028754,Obesity,NR3C1,116,0,,0,"Signal Transduction,Disease,Metabolism of proteins,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli",0.96,"R-HSA-162582,R-HSA-1643685,R-HSA-392499,R-HSA-400253,R-HSA-74160,R-HSA-8953897",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,1,P14416,0,Growth abnormality (01507),disease,0.894736842105263,55,1813,0,,ENSG00000149295,protein-coding,0.4,dopamine receptor D2,0.99986,C0028754,Obesity,DRD2,30,0,,0,Signal Transduction,0.96,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,1,"P06850,A0A0S2Z478",0,Growth abnormality (01507),disease,0.933333333333333,43,1392,0,,ENSG00000147571,protein-coding,0.42,corticotropin releasing hormone,0.0059146,C0028754,Obesity,CRH,1,0,,0,"Signal Transduction,Gene expression (Transcription)",0.91,"R-HSA-162582,R-HSA-74160",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.9
,0,"Q9UG55,O00519",0,Growth abnormality (01507),disease,0.878787878787879,9,2166,2,,ENSG00000117480,protein-coding,0.5,fatty acid amide hydrolase,9.2899E-21,C0028754,Obesity,FAAH,2,0,2011,0,Metabolism,0.91,R-HSA-1430728,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2009,0.85
,0,"P28335,K9J958",0,Growth abnormality (01507),disease,0.910714285714286,19,3358,2,,ENSG00000147246,protein-coding,0.51,5-hydroxytryptamine receptor 2C,,C0028754,Obesity,HTR2C,2,1,2009,1,Signal Transduction,0.83,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2007,0.85
,0,"P16870,A0A384N679",0,Growth abnormality (01507),disease,0.774193548387097,7,1363,2,,ENSG00000109472,protein-coding,0.52,carboxypeptidase E,0.83148,C0028754,Obesity,CPE,13,1,2013,1,Metabolism of proteins,0.83,R-HSA-392499,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2004,0.85
,0,P28223,0,Growth abnormality (01507),disease,0.714285714285714,43,3356,1,,ENSG00000102468,protein-coding,0.44,5-hydroxytryptamine receptor 2A,0.35656,C0028754,Obesity,HTR2A,3,0,2006,0,Signal Transduction,0.91,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2006,0.85
,0,"P07550,X5DQM5",0,Growth abnormality (01507),disease,0.84,49,154,1,,ENSG00000169252,protein-coding,0.42,adrenoceptor beta 2,0.0010085,C0028754,Obesity,ADRB2,3,0,2005,0,"Signal Transduction,Metabolism of proteins,Vesicle-mediated transport",0.96,"R-HSA-162582,R-HSA-392499,R-HSA-5653656",345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2005,0.85
,0,O43612,0,Growth abnormality (01507),disease,0.976190476190476,17,3060,1,,ENSG00000161610,protein-coding,0.45,hypocretin neuropeptide precursor,0.0030594,C0028754,Obesity,HCRT,1,0,2016,0,Signal Transduction,0.96,R-HSA-162582,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2016,0.85
,0,Q9BXC9,0,Growth abnormality (01507),disease,0.923076923076923,13,583,0,,ENSG00000125124,protein-coding,0.53,Bardet-Biedl syndrome 2,5.9888E-15,C0028754,Obesity,BBS2,354,0,,0,Organelle biogenesis and maintenance,0.87,R-HSA-1852241,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.85
,0,P48546,2,Growth abnormality (01507),disease,0.971428571428571,5,2696,0,,ENSG00000010310,protein-coding,0.6,gastric inhibitory polypeptide receptor,7.1956E-26,C0028754,Obesity,GIPR,17,0,,0,Signal Transduction,0.7,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.85
,0,"B7Z3W9,Q9NPJ1",0,Growth abnormality (01507),disease,0.866666666666667,13,8195,0,,ENSG00000125863,protein-coding,0.51,MKKS centrosomal shuttling protein,9.7525E-11,C0028754,Obesity,MKKS,208,0,,0,Organelle biogenesis and maintenance,0.91,R-HSA-1852241,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.85
,1,"Q03181,F1D8S7",0,Growth abnormality (01507),disease,0.875,17,5467,2,,ENSG00000112033,protein-coding,0.45,peroxisome proliferator activated receptor delta,0.99998,C0028754,Obesity,PPARD,18,2,2010,2,"Metabolism,Signal Transduction,Gene expression (Transcription)",0.91,"R-HSA-1430728,R-HSA-162582,R-HSA-74160",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2005,0.85
,9,"P18428,Q8TCF0",0,Growth abnormality (01507),disease,0.909090909090909,10,3929,1,,ENSG00000129988,protein-coding,0.46,lipopolysaccharide binding protein,6.7841E-14,C0028754,Obesity,LBP,0,0,2013,0,Immune System,0.96,R-HSA-168256,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.85
,2,P49327,0,Growth abnormality (01507),disease,0.907407407407407,29,2194,1,,ENSG00000169710,protein-coding,0.43,fatty acid synthase,1,C0028754,Obesity,FASN,666,0,2011,0,"Metabolism,Signal Transduction",0.96,"R-HSA-1430728,R-HSA-162582",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.85
,1,Q86VB7,0,Growth abnormality (01507),disease,0.857142857142857,12,9332,1,,ENSG00000177575,protein-coding,0.42,CD163 molecule,0.00050078,C0028754,Obesity,CD163,6,0,2018,0,"Disease,Vesicle-mediated transport",0.91,"R-HSA-1643685,R-HSA-5653656",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2018,0.85
,1,Q96B42,0,Growth abnormality (01507),disease,0.912280701754386,2,129787,1,,ENSG00000151353,protein-coding,0.74,transmembrane protein 18,0.00013512,C0028754,Obesity,TMEM18,5,0,2009,0,,0.39,,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2009,0.85
,1,,0,Growth abnormality (01507),disease,1,17,406991,1,,ENSG00000284190,ncRNA,0.37,microRNA 21,,C0028754,Obesity,MIR21,1,0,2013,0,,0.96,,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.85
,1,O00767,0,Growth abnormality (01507),disease,0.973684210526316,22,6319,1,,ENSG00000099194,protein-coding,0.48,stearoyl-CoA desaturase,1,C0028754,Obesity,SCD,1,0,2011,0,"Metabolism,Signal Transduction",0.87,"R-HSA-1430728,R-HSA-162582",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.85
,1,P20333,0,Growth abnormality (01507),disease,0.777777777777778,31,7133,1,,ENSG00000028137,protein-coding,0.4,TNF receptor superfamily member 1B,0.10032,C0028754,Obesity,TNFRSF1B,1,0,2002,0,Immune System,0.91,R-HSA-168256,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2002,0.85
,2,Q9BY76,0,Growth abnormality (01507),disease,1,16,51129,1,,ENSG00000167772,protein-coding,0.48,angiopoietin like 4,3.5878E-16,C0028754,Obesity,ANGPTL4,7,0,2017,0,"Developmental Biology,Metabolism,Cell-Cell communication,Transport of small molecules",0.91,"R-HSA-1266738,R-HSA-1430728,R-HSA-1500931,R-HSA-382551",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2017,0.85
,1,"P07203,A0A2R8Y6B6,Q7L4Q3",0,Growth abnormality (01507),disease,0.666666666666667,76,2876,1,,ENSG00000233276,protein-coding,0.42,glutathione peroxidase 1,0.0019011,C0028754,Obesity,GPX1,1,0,2004,0,"Metabolism,Cellular responses to stimuli",0.91,"R-HSA-1430728,R-HSA-8953897",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2004,0.85
,7,"V9HWC9,P00441",0,Growth abnormality (01507),disease,0.883720930232558,90,6647,1,,ENSG00000142168,protein-coding,0.33,superoxide dismutase 1,0.011954,C0028754,Obesity,SOD1,133,0,2013,0,"Hemostasis,Immune System,Cellular responses to stimuli",1,"R-HSA-109582,R-HSA-168256,R-HSA-8953897",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.85
,4,P12104,0,Growth abnormality (01507),disease,0.825,9,2169,0,,ENSG00000145384,protein-coding,0.49,fatty acid binding protein 2,0.16064,C0028754,Obesity,FABP2,1,0,,0,Metabolism,0.91,R-HSA-1430728,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.85
,0,P42127,0,Growth abnormality (01507),disease,0.92,22,434,5,,ENSG00000101440,protein-coding,0.58,agouti signaling protein,0.000017622,C0028754,Obesity,ASIP,4,0,2020,0,,0.83,,345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1992,0.8
,0,P35869,0,Growth abnormality (01507),disease,0.774193548387097,74,196,3,,ENSG00000106546,protein-coding,0.38,aryl hydrocarbon receptor,0.0077533,C0028754,Obesity,AHR,1,0,2019,0,Metabolism,0.96,R-HSA-1430728,345,Transcription factor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2016,0.8
,0,P22352,0,Growth abnormality (01507),disease,0.933333333333333,34,2878,2,,ENSG00000211445,protein-coding,0.45,glutathione peroxidase 3,0.000000010819,C0028754,Obesity,GPX3,1,1,2009,1,Cellular responses to stimuli,0.91,R-HSA-8953897,345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2001,0.8
,0,Q7Z5J4,0,Growth abnormality (01507),disease,1,21,10743,2,,ENSG00000108557,protein-coding,0.5,retinoic acid induced 1,1,C0028754,Obesity,RAI1,79,0,2009,0,"Circadian Clock,Cellular responses to stimuli",0.87,"R-HSA-400253,R-HSA-8953897",345,Transcription factor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2004,0.8
,0,P05181,0,Growth abnormality (01507),disease,0.892857142857143,48,1571,1,,ENSG00000130649,protein-coding,0.44,cytochrome P450 family 2 subfamily E member 1,0.00000012359,C0028754,Obesity,CYP2E1,4,0,2013,0,"Metabolism,Drug ADME",0.96,"R-HSA-1430728,R-HSA-9748784",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.8
,0,Q9NTG7,0,Growth abnormality (01507),disease,0.970588235294118,5,23410,1,,ENSG00000142082,protein-coding,0.44,sirtuin 3,0.00000011263,C0028754,Obesity,SIRT3,10,0,2013,0,"Metabolism,Organelle biogenesis and maintenance,Gene expression (Transcription)",0.91,"R-HSA-1430728,R-HSA-1852241,R-HSA-74160",345,Epigenetic regulator,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.8
,0,P20382,0,Growth abnormality (01507),disease,0.933333333333333,5,5367,1,,ENSG00000183395,protein-coding,0.57,pro-melanin concentrating hormone,0.17328,C0028754,Obesity,PMCH,0,0,2002,0,Signal Transduction,0.83,R-HSA-162582,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2002,0.8
,0,"O43524,A0A856PRE8",0,Growth abnormality (01507),disease,1,8,2309,1,,ENSG00000118689,protein-coding,0.42,forkhead box O3,0.99997,C0028754,Obesity,FOXO3,23,0,2013,0,"Developmental Biology,Signal Transduction,Disease,Immune System,Gene expression (Transcription)",0.91,"R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-74160",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.8
,0,Q7Z3B1,1,Growth abnormality (01507),disease,0.880952380952381,1,257194,1,,ENSG00000172260,protein-coding,0.61,neuronal growth regulator 1,0.99553,C0028754,Obesity,NEGR1,67,0,2009,0,Metabolism of proteins,0.78,R-HSA-392499,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2009,0.8
,0,"P36956,B3KR77",0,Growth abnormality (01507),disease,0.907692307692308,20,6720,1,,ENSG00000072310,protein-coding,0.45,sterol regulatory element binding transcription factor 1,0.000003898,C0028754,Obesity,SREBF1,12,1,2000,1,"Developmental Biology,Metabolism,Signal Transduction,Circadian Clock,Gene expression (Transcription)",0.91,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-400253,R-HSA-74160",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2000,0.8
,0,Q9HC96,0,Growth abnormality (01507),disease,0.833333333333333,12,11132,0,,ENSG00000142330,protein-coding,0.58,calpain 10,1.201E-22,C0028754,Obesity,CAPN10,3,0,,0,Extracellular matrix organization,0.7,R-HSA-1474244,345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,P26441,0,Growth abnormality (01507),disease,0.875,12,1270,0,,ENSG00000242689,protein-coding,0.52,ciliary neurotrophic factor,0.0000049324,C0028754,Obesity,CNTF,0,0,,0,Immune System,0.91,R-HSA-168256,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,"P14174,I4AY87",0,Growth abnormality (01507),disease,0.941176470588235,29,4282,0,,ENSG00000240972,protein-coding,0.4,macrophage migration inhibitory factor,0.000000022471,C0028754,Obesity,MIF,0,0,,0,"Hemostasis,Immune System",0.96,"R-HSA-109582,R-HSA-168256",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,P49146,0,Growth abnormality (01507),disease,0.933333333333333,9,4887,0,,ENSG00000185149,protein-coding,0.63,neuropeptide Y receptor Y2,0.000052469,C0028754,Obesity,NPY2R,1,0,,0,Signal Transduction,0.83,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,Q99958,0,Growth abnormality (01507),disease,0.909090909090909,14,2303,0,,ENSG00000176692,protein-coding,0.48,forkhead box C2,0.00066313,C0028754,Obesity,FOXC2,30,0,,0,Developmental Biology,0.87,R-HSA-1266738,345,Transcription factor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,"Q9NUA2,P10275,A0A087WUX9,G4VV16,F1D8N5",0,Growth abnormality (01507),disease,1,42,367,0,,ENSG00000169083,protein-coding,0.33,androgen receptor,,C0028754,Obesity,AR,242,0,,0,"Signal Transduction,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli",0.96,"R-HSA-162582,R-HSA-392499,R-HSA-74160,R-HSA-8953897",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,"P24666,Q59EH3,A0A140VK37",0,Growth abnormality (01507),disease,0.772727272727273,14,52,0,,ENSG00000143727,protein-coding,0.48,acid phosphatase 1,0.0000001469,C0028754,Obesity,ACP1,3,0,,0,,0.91,,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,"P55157,B7Z7X3",0,Growth abnormality (01507),disease,1,11,4547,0,,ENSG00000138823,protein-coding,0.47,microsomal triglyceride transfer protein,0.00000064626,C0028754,Obesity,MTTP,166,0,,0,Transport of small molecules,0.83,R-HSA-382551,345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,"P36955,A0A140VKF3",0,Growth abnormality (01507),disease,0.925925925925926,33,5176,0,,ENSG00000132386,protein-coding,0.42,serpin family F member 1,0.000000018885,C0028754,Obesity,SERPINF1,78,0,,0,,0.91,,345,Enzyme modulator,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,"F1D8N1,Q13133,B5MBY7,B4DXU5",0,Growth abnormality (01507),disease,0.882352941176471,9,10062,0,,ENSG00000025434,protein-coding,0.48,nuclear receptor subfamily 1 group H member 3,0.75938,C0028754,Obesity,NR1H3,12,0,,0,"Metabolism,Signal Transduction,Transport of small molecules,Metabolism of proteins,Gene expression (Transcription)",0.83,"R-HSA-1430728,R-HSA-162582,R-HSA-382551,R-HSA-392499,R-HSA-74160",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,Q92847,0,Growth abnormality (01507),disease,0.843137254901961,5,2693,0,,ENSG00000121853,protein-coding,0.5,growth hormone secretagogue receptor,0.00009143,C0028754,Obesity,GHSR,52,0,,0,Signal Transduction,0.87,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,O15528,0,Growth abnormality (01507),disease,0.733333333333333,12,1594,0,,ENSG00000111012,protein-coding,0.43,cytochrome P450 family 27 subfamily B member 1,9.067E-14,C0028754,Obesity,CYP27B1,71,0,,0,"Metabolism,Disease",0.91,"R-HSA-1430728,R-HSA-1643685",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,P02654,0,Growth abnormality (01507),disease,0.9,4,341,0,,ENSG00000130208,protein-coding,0.52,apolipoprotein C1,0.11905,C0028754,Obesity,APOC1,21,0,,0,"Signal Transduction,Transport of small molecules",0.78,"R-HSA-162582,R-HSA-382551",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,"O95477,B2RUU2,B7XCW9",0,Growth abnormality (01507),disease,0.862068965517241,31,19,0,,ENSG00000165029,protein-coding,0.44,ATP binding cassette subfamily A member 1,2.0444E-12,C0028754,Obesity,ABCA1,281,0,,0,"Metabolism,Signal Transduction,Disease,Transport of small molecules",0.91,"R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-382551",345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,P06401,0,Growth abnormality (01507),disease,0.6875,14,5241,0,,ENSG00000082175,protein-coding,0.36,progesterone receptor,0.71712,C0028754,Obesity,PGR,4,0,,0,"Signal Transduction,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli",0.91,"R-HSA-162582,R-HSA-392499,R-HSA-74160,R-HSA-8953897",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,4,"Q7Z3E0,B7Z2I6,A0A8V8TM46,A8K6Q8,G3V0E5,P02786",0,Growth abnormality (01507),disease,0.933333333333333,29,7037,2,,ENSG00000072274,protein-coding,0.39,transferrin receptor,0.98338,C0028754,Obesity,TFRC,17,0,2011,0,"Developmental Biology,Signal Transduction,Transport of small molecules,Vesicle-mediated transport",0.96,"R-HSA-1266738,R-HSA-162582,R-HSA-382551,R-HSA-5653656",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2006,0.8
,1,P11215,0,Growth abnormality (01507),disease,1,15,3684,1,,ENSG00000169896,protein-coding,0.41,integrin subunit alpha M,7.2128E-11,C0028754,Obesity,ITGAM,9,0,2018,0,"Hemostasis,Extracellular matrix organization,Immune System",0.91,"R-HSA-109582,R-HSA-1474244,R-HSA-168256",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2018,0.8
,1,"Q59FD4,P78542,B3KXY9,A0A994J753,P19367,A8K7J7",0,Growth abnormality (01507),disease,0.888888888888889,32,3098,0,,ENSG00000156515,protein-coding,0.44,hexokinase 1,1,C0028754,Obesity,HK1,44,0,,0,"Metabolism,Disease,Metabolism of proteins",0.87,"R-HSA-1430728,R-HSA-1643685,R-HSA-392499",345,Kinase,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.8
,0,P06276,0,Growth abnormality (01507),disease,0.916666666666667,45,590,4,,ENSG00000114200,protein-coding,0.42,butyrylcholinesterase,6.2149E-16,C0028754,Obesity,BCHE,117,2,2016,2,"Neuronal System,Metabolism,Metabolism of proteins,Drug ADME",0.91,"R-HSA-112316,R-HSA-1430728,R-HSA-392499,R-HSA-9748784",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2008,0.75
,0,"A0A384NL29,Q9UG59,Q96AM7,G5E9P6,P04179",0,Growth abnormality (01507),disease,0.833333333333333,192,6648,3,,ENSG00000291237,protein-coding,0.35,superoxide dismutase 2,0.032187,C0028754,Obesity,SOD2,5,0,2019,0,"Disease,Immune System,Organelle biogenesis and maintenance,Gene expression (Transcription),Cellular responses to stimuli",1,"R-HSA-1643685,R-HSA-168256,R-HSA-1852241,R-HSA-74160,R-HSA-8953897",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2005,0.75
