Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CCDC40","Coiled-Coil Domain 40 Molecular Ruler Complex Subunit","Protein Coding","Q4G0X9","47","GC17P134782","1.64569878578186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC40"
"SRY","Sex Determining Region Y","Protein Coding","Q05066","50","GC0YM002698","1.64472103118896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRY"
"PRKCH","Protein Kinase C Eta","Protein Coding","P24723","61","GC14P061187","1.64464974403381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCH"
"GALNT13","Polypeptide N-Acetylgalactosaminyltransferase 13","Protein Coding","Q8IUC8","44","GC02P153069","1.64464974403381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT13"
"IRF1","Interferon Regulatory Factor 1","Protein Coding","P10914","60","GC05M132440","1.64369189739227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1"
"CXCL11","C-X-C Motif Chemokine Ligand 11","Protein Coding","O14625","52","GC04M076033","1.64273023605347","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL11"
"PLEK","Pleckstrin","Protein Coding","P08567","52","GC02P068365","1.64143490791321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEK"
"SOAT2","Sterol O-Acyltransferase 2","Protein Coding","O75908","52","GC12P053103","1.6410059928894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOAT2"
"POU3F2","POU Class 3 Homeobox 2","Protein Coding","P20265","55","GC06P098834","1.64096510410309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU3F2"
"F11R","F11 Receptor","Protein Coding","Q9Y624","54","GC01M160995","1.64096510410309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F11R"
"POU1F1","POU Class 1 Homeobox 1","Protein Coding","P28069","53","GC03M087259","1.63929355144501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU1F1"
"ANGPTL2","Angiopoietin Like 2","Protein Coding","Q9UKU9","46","GC09M127087","1.63815975189209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL2"
"BICDL3P","BICD Family Like 3, Pseudogene","Pseudogene","","24","GC07P090933","1.63750088214874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BICDL3P"
"TSPAN7","Tetraspanin 7","Protein Coding","P41732","57","GC0XP038561","1.63730657100677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN7"
"PLK4","Polo Like Kinase 4","Protein Coding","O00444","59","GC04P127880","1.63584852218628","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK4"
"RFX2","Regulatory Factor X2","Protein Coding","P48378","51","GC19M005993","1.63584852218628","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFX2"
"FOXJ1","Forkhead Box J1","Protein Coding","Q92949","50","GC17M076136","1.63584852218628","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXJ1"
"IFT25","Intraflagellar Transport 25","Protein Coding","Q9Y547","47","GC01M053916","1.63584852218628","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT25"
"RFX4","Regulatory Factor X4","Protein Coding","Q33E94","47","GC12P106583","1.63584852218628","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFX4"
"CIMAP3","Ciliary Microtubule Associated Protein 3","Protein Coding","Q8TCI5","40","GC01P111324","1.63584852218628","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIMAP3"
"SCN2B","Sodium Voltage-Gated Channel Beta Subunit 2","Protein Coding","O60939","58","GC11M133811","1.63412225246429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN2B"
"SCN1B","Sodium Voltage-Gated Channel Beta Subunit 1","Protein Coding","Q07699","57","GC19P035030","1.63412225246429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN1B"
"SCN3B","Sodium Voltage-Gated Channel Beta Subunit 3","Protein Coding","Q9NY72","56","GC11M123629","1.63412225246429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN3B"
"SCN4B","Sodium Voltage-Gated Channel Beta Subunit 4","Protein Coding","Q8IWT1","56","GC11M133808","1.63412225246429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN4B"
"PTBP2","Polypyrimidine Tract Binding Protein 2","Protein Coding","Q9UKA9","52","GC01P096721","1.63356232643127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTBP2"
"DVL1","Dishevelled Segment Polarity Protein 1","Protein Coding","O14640","60","GC01M001335","1.63283181190491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DVL1"
"BSG","Basigin (Ok Blood Group)","Protein Coding","P35613","56","GC19P000571","1.63272774219513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG"
"SCN2A","Sodium Voltage-Gated Channel Alpha Subunit 2","Protein Coding","Q99250","61","GC02P165194","1.63252258300781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN2A"
"MST1R","Macrophage Stimulating 1 Receptor","Protein Coding","Q04912","62","GC03M054300","1.63238954544067","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MST1R"
"PSMB8","Proteasome 20S Subunit Beta 8","Protein Coding","P28062","62","GC06M032840","1.63234782218933","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB8"
"S100A7","S100 Calcium Binding Protein A7","Protein Coding","P31151","51","GC01M153457","1.63190746307373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A7"
"CXCL2","C-X-C Motif Chemokine Ligand 2","Protein Coding","P19875","52","GC04M074097","1.631711602211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL2"
"DOK5","Docking Protein 5","Protein Coding","Q9P104","47","GC20P054476","1.631711602211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOK5"
"CXCL9","C-X-C Motif Chemokine Ligand 9","Protein Coding","Q07325","51","GC04M076001","1.62899577617645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL9"
"CYTOR","Cytoskeleton Regulator RNA","RNA Gene","","30","GC02P089642","1.62858390808105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYTOR"
"IRF5","Interferon Regulatory Factor 5","Protein Coding","Q13568","59","GC07P128937","1.62723827362061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF5"
"ZPLD1","Zona Pellucida Like Domain Containing 1","Protein Coding","Q8TCW7","42","GC03P102099","1.62723827362061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZPLD1"
"NPSR1","Neuropeptide S Receptor 1","Protein Coding","Q6W5P4","51","GC07P034658","1.62671613693237","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPSR1"
"TTC39B","Tetratricopeptide Repeat Domain 39B","Protein Coding","Q5VTQ0","42","GC09M015170","1.62671613693237","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC39B"
"LY86","Lymphocyte Antigen 86","Protein Coding","O95711","49","GC06P006588","1.62584066390991","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LY86"
"DLGAP1","DLG Associated Protein 1","Protein Coding","O14490","52","GC18M003496","1.62473046779633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLGAP1"
"TET1","Tet Methylcytosine Dioxygenase 1","Protein Coding","Q8NFU7","50","GC10P068560","1.62473046779633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET1"
"GRIN2B","Glutamate Ionotropic Receptor NMDA Type Subunit 2B","Protein Coding","Q13224","65","GC12M013437","1.62417674064636","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","P09874","63","GC01M226360","1.62401711940765","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"SECISBP2","SECIS Binding Protein 2","Protein Coding","Q96T21","53","GC09P089318","1.62377572059631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SECISBP2"
"ADAMTS13","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13","Protein Coding","Q76LX8","61","GC09P133414","1.6229065656662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS13"
"SPP2","Secreted Phosphoprotein 2","Protein Coding","Q13103","46","GC02P234050","1.62020778656006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP2"
"THPO","Thrombopoietin","Protein Coding","P40225","56","GC03M184371","1.61989521980286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THPO"
"RAB18","RAB18, Member RAS Oncogene Family","Protein Coding","Q9NP72","50","GC10P027504","1.61971616744995","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB18"
"PIWIL4","Piwi Like RNA-Mediated Gene Silencing 4","Protein Coding","Q7Z3Z4","49","GC11P094543","1.61683094501495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIWIL4"
"DYNLT2B","Dynein Light Chain Tctex-Type 2B","Protein Coding","Q8WW35","47","GC03M196588","1.61420595645905","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLT2B"
"CCDC92","Coiled-Coil Domain Containing 92","Protein Coding","Q53HC0","40","GC12M123918","1.61420011520386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC92"
"USP14","Ubiquitin Specific Peptidase 14","Protein Coding","P54578","56","GC18P000158","1.61354446411133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP14"
"LOC654780","Splicing Factor Proline/Glutamine-Rich","RNA Gene","","23","GC16M084193","1.61279773712158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC654780"
"HDAC1","Histone Deacetylase 1","Protein Coding","Q13547","63","GC01P032292","1.6121609210968","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1"
"TBCE","Tubulin Folding Cofactor E","Protein Coding","Q15813","52","GC01P235367","1.61153924465179","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCE"
"PIN1","Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 1","Protein Coding","Q13526","60","GC19P009835","1.61065900325775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIN1"
"TBX19","T-Box Transcription Factor 19","Protein Coding","O60806","51","GC01P168280","1.60917830467224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX19"
"PML","PML Nuclear Body Scaffold","Protein Coding","P29590","59","GC15P073994","1.60907030105591","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PML"
"TBCD","Tubulin Folding Cofactor D","Protein Coding","Q9BTW9","52","GC17P082752","1.60825049877167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCD"
"NINJ1","Ninjurin 1","Protein Coding","Q92982","50","GC09M093121","1.60762190818787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NINJ1"
"KIAA1217","KIAA1217","Protein Coding","Q5T5P2","46","GC10P023695","1.60762190818787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA1217"
"SDK1","Sidekick Cell Adhesion Molecule 1","Protein Coding","Q7Z5N4","44","GC07P015286","1.60762190818787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDK1"
"CCDC77","Coiled-Coil Domain Containing 77","Protein Coding","Q9BR77","43","GC12P000393","1.60762190818787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC77"
"OTUD1","OTU Deubiquitinase 1","Protein Coding","Q5VV17","42","GC10P023439","1.60762190818787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTUD1"
"CBR1","Carbonyl Reductase 1","Protein Coding","P16152","55","GC21P036069","1.60753417015076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBR1"
"YWHAG","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma","Protein Coding","P61981","61","GC07M079217","1.60678732395172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAG"
"SLC22A1","Solute Carrier Family 22 Member 1","Protein Coding","O15245","55","GC06P160121","1.6047203540802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A1"
"JUP","Junction Plakoglobin","Protein Coding","P14923","61","GC17M041754","1.60381233692169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUP"
"ITGB1","Integrin Subunit Beta 1","Protein Coding","P05556","62","GC10M036398","1.60137867927551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1"
"PCDH15","Protocadherin Related 15","Protein Coding","Q96QU1","54","GC10M053802","1.60071194171906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH15"
"COL4A1","Collagen Type IV Alpha 1 Chain","Protein Coding","P02462","60","GC13M110148","1.59954822063446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A1"
"OSBPL11","Oxysterol Binding Protein Like 11","Protein Coding","Q9BXB4","46","GC03M125529","1.59822678565979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSBPL11"
"HLA-G","Major Histocompatibility Complex, Class I, G","Protein Coding","P17693","57","GC06P156194","1.59735870361328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-G"
"WNT3A","Wnt Family Member 3A","Protein Coding","P56704","60","GC01P232233","1.59723806381226","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT3A"
"MIR365B","MicroRNA 365b","RNA Gene","","16","GC17P133333","1.59541201591492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR365B"
"ZFPM2","Zinc Finger Protein, FOG Family Member 2","Protein Coding","Q8WW38","51","GC08P104590","1.59513473510742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFPM2"
"LIG4","DNA Ligase 4","Protein Coding","P49917","59","GC13M108207","1.59372234344482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIG4"
"PRKCB","Protein Kinase C Beta","Protein Coding","P05771","62","GC16P104638","1.59293913841248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCB"
"NEXMIF","Neurite Extension And Migration Factor","Protein Coding","Q5QGS0","44","GC0XM074825","1.59133553504944","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEXMIF"
"CPLANE2","Ciliogenesis And Planar Polarity Effector Complex Subunit 2","Protein Coding","Q9BU20","39","GC01M020214","1.59059274196625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPLANE2"
"FYN","FYN Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","P06241","60","GC06M111660","1.58622121810913","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FYN"
"S100A4","S100 Calcium Binding Protein A4","Protein Coding","P26447","57","GC01M153543","1.58414649963379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A4"
"DRD3","Dopamine Receptor D3","Protein Coding","P35462","56","GC03M114128","1.58378767967224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD3"
"TBK1","TANK Binding Kinase 1","Protein Coding","Q9UHD2","62","GC12P067025","1.58301877975464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1"
"MIR326","MicroRNA 326","RNA Gene","","30","GC11M075335","1.58254444599152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR326"
"ZFP57","ZFP57 Zinc Finger Protein","Protein Coding","Q9NU63","50","GC06M029672","1.58135843276978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFP57"
"MCU","Mitochondrial Calcium Uniporter","Protein Coding","Q8NE86","51","GC10P072692","1.58072876930237","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCU"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","P04439","58","GC06P156203","1.57796692848206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"MYO9A","Myosin IXA","Protein Coding","B2RTY4","50","GC15M071822","1.57775115966797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO9A"
"DNAJC27","DnaJ Heat Shock Protein Family (Hsp40) Member C27","Protein Coding","Q9NZQ0","41","GC02M024943","1.5774062871933","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC27"
"MIR22HG","MIR22 Host Gene","RNA Gene","Q0VDD5","34","GC17M088017","1.5759015083313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22HG"
"BANF1","Barrier To Autointegration Nuclear Assembly Factor 1","Protein Coding","O75531","55","GC11P066002","1.57233679294586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANF1"
"ANXA1","Annexin A1","Protein Coding","P04083","60","GC09P073151","1.57199478149414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA1"
"C1QL3","Complement C1q Like 3","Protein Coding","Q5VWW1","44","GC10M016513","1.57156801223755","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QL3"
"CDH13","Cadherin 13","Protein Coding","P55290","57","GC16P082626","1.57127892971039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH13"
"MT-RNR2","Mitochondrially Encoded 16S RRNA","RNA Gene","Q8IVG9","31","GCMTP000953","1.57126808166504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-RNR2"
"PDIA3","Protein Disulfide Isomerase Family A Member 3","Protein Coding","P30101","56","GC15P043746","1.56926798820496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA3"
"PMS1","PMS1 Homolog 1, Mismatch Repair System Component","Protein Coding","P54277","52","GC02P189784","1.56715941429138","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS1"
"SULT1E1","Sulfotransferase Family 1E Member 1","Protein Coding","P49888","55","GC04M069823","1.56667864322662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1E1"
"DVL2","Dishevelled Segment Polarity Protein 2","Protein Coding","O14641","58","GC17M007225","1.56529116630554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DVL2"
"EHD1","EH Domain Containing 1","Protein Coding","Q9H4M9","52","GC11M132763","1.56491732597351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHD1"
"ARL4D","ADP Ribosylation Factor Like GTPase 4D","Protein Coding","P49703","43","GC17P043398","1.56482076644897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL4D"
"OTUD7B","OTU Deubiquitinase 7B","Protein Coding","Q6GQQ9","47","GC01M149937","1.56479978561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTUD7B"
"TMEM30B","Transmembrane Protein 30B","Protein Coding","Q3MIR4","45","GC14M061277","1.56479978561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM30B"
"CLDN23","Claudin 23","Protein Coding","Q96B33","44","GC08P008701","1.56479978561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN23"
"METTL15","Methyltransferase 15, Mitochondrial 12S RRNA N4-Cytidine","Protein Coding","A6NJ78","44","GC11P028109","1.56479978561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL15"
"TOM1L1","Target Of Myb1 Like 1 Membrane Trafficking Protein","Protein Coding","O75674","41","GC17P134138","1.56479978561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOM1L1"
"NALF1","NALCN Channel Auxiliary Factor 1","Protein Coding","B1AL88","37","GC13M107164","1.56479978561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NALF1"
"KC6","Keratoconus Gene 6","RNA Gene","","19","GC18M041427","1.56479978561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KC6"
"LINC02240","Long Intergenic Non-Protein Coding RNA 2240","RNA Gene","","15","GC05P124808","1.56479978561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02240"
"CXADR","CXADR Ig-Like Cell Adhesion Molecule","Protein Coding","P78310","56","GC21P017513","1.56441032886505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXADR"
"CPA1","Carboxypeptidase A1","Protein Coding","P15085","55","GC07P130380","1.56396520137787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPA1"
"MAEA","Macrophage Erythroblast Attacher, E3 Ubiquitin Ligase","Protein Coding","Q7L5Y9","49","GC04P001289","1.56396520137787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAEA"
"YTHDC1","YTH N6-Methyladenosine RNA Binding Protein C1","Protein Coding","Q96MU7","49","GC04M068310","1.56396520137787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YTHDC1"
"EBF1","EBF Transcription Factor 1","Protein Coding","Q9UH73","54","GC05M158695","1.56392586231232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EBF1"
"PRICKLE1","Prickle Planar Cell Polarity Protein 1","Protein Coding","Q96MT3","56","GC12M042456","1.56359434127808","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRICKLE1"
"SDR16C5","Short Chain Dehydrogenase/Reductase Family 16C Member 5","Protein Coding","Q8N3Y7","48","GC08M056300","1.56259500980377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDR16C5"
"MIR499A","MicroRNA 499a","RNA Gene","","30","GC20P034990","1.56246304512024","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR499A"
"MIR4713","MicroRNA 4713","RNA Gene","","11","GC15P051242","1.56239950656891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4713"
"CHM","CHM Rab Escort Protein","Protein Coding","P24386","53","GC0XM085861","1.56165397167206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHM"
"GPR143","G Protein-Coupled Receptor 143","Protein Coding","P51810","52","GC0XM009725","1.56165397167206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR143"
"USP7","Ubiquitin Specific Peptidase 7","Protein Coding","Q93009","62","GC16M008892","1.56116223335266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP7"
"ESCO2","Establishment Of Sister Chromatid Cohesion N-Acetyltransferase 2","Protein Coding","Q56NI9","51","GC08P027771","1.56076121330261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESCO2"
"MIR30D","MicroRNA 30d","RNA Gene","","26","GC08M134804","1.56074571609497","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30D"
"ERG","ETS Transcription Factor ERG","Protein Coding","P11308","59","GC21M038367","1.56055128574371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERG"
"C3AR1","Complement C3a Receptor 1","Protein Coding","Q16581","56","GC12M032957","1.55999612808228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3AR1"
"FURIN","Furin, Paired Basic Amino Acid Cleaving Enzyme","Protein Coding","P09958","61","GC15P090868","1.55954599380493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN"
"C1QTNF1","C1q And TNF Related 1","Protein Coding","Q9BXJ1","50","GC17P079022","1.55954599380493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QTNF1"
"CDK5","Cyclin Dependent Kinase 5","Protein Coding","Q00535","65","GC07M151053","1.55800783634186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5"
"TENT5A","Terminal Nucleotidyltransferase 5A","Protein Coding","Q96IP4","47","GC06M100988","1.55800783634186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT5A"
"USH1C","USH1 Protein Network Component Harmonin","Protein Coding","Q9Y6N9","54","GC11M018033","1.55741631984711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH1C"
"CNGB3","Cyclic Nucleotide Gated Channel Subunit Beta 3","Protein Coding","Q9NQW8","52","GC08M086553","1.55741631984711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNGB3"
"CCT5","Chaperonin Containing TCP1 Subunit 5","Protein Coding","P48643","56","GC05P010249","1.55672347545624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT5"
"KCNH5","Potassium Voltage-Gated Channel Subfamily H Member 5","Protein Coding","Q8NCM2","57","GC14M062699","1.55663418769836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH5"
"MIR4713HG","MIR4713 Host Gene","RNA Gene","","22","GC15P175370","1.55595469474792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4713HG"
"PIRC66","Piwi-Interacting RNA Cluster 66","RNA Gene","","12","GC15U901108","1.55595469474792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIRC66"
"LOC126863330","MED14-Independent Group 3 Enhancer GRCh37_chrX:135956167-135957366","Functional Element","","5","GC0XP136875","1.55595469474792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126863330"
"TNC","Tenascin C","Protein Coding","P24821","62","GC09M115019","1.55155420303345","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNC"
"PDPK1","3-Phosphoinositide Dependent Protein Kinase 1","Protein Coding","O15530","61","GC16P002537","1.55097329616547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDPK1"
"RAB34","RAB34, Member RAS Oncogene Family","Protein Coding","P0DI83","47","GC17M028714","1.55044198036194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB34"
"B4GALT5","Beta-1,4-Galactosyltransferase 5","Protein Coding","O43286","48","GC20M049632","1.54979681968689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B4GALT5"
"HSPA4","Heat Shock Protein Family A (Hsp70) Member 4","Protein Coding","P34932","55","GC05P133097","1.54968905448914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA4"
"EIF2B1","Eukaryotic Translation Initiation Factor 2B Subunit Alpha","Protein Coding","Q14232","55","GC12M123620","1.54787826538086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2B1"
"EIF2B3","Eukaryotic Translation Initiation Factor 2B Subunit Gamma","Protein Coding","Q9NR50","54","GC01M044850","1.54787826538086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2B3"
"EIF5","Eukaryotic Translation Initiation Factor 5","Protein Coding","P55010","54","GC14P103333","1.54787826538086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF5"
"EIF1","Eukaryotic Translation Initiation Factor 1","Protein Coding","P41567","50","GC17P041688","1.54787826538086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF1"
"MAP7D2","MAP7 Domain Containing 2","Protein Coding","Q96T17","41","GC0XM020006","1.54787826538086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP7D2"
"FOXL2NB","FOXL2 Neighbor","Protein Coding","Q6ZUU3","37","GC03P138947","1.54787826538086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXL2NB"
"MBL2","Mannose Binding Lectin 2","Protein Coding","P11226","59","GC10M052760","1.54561066627502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"LIMA1","LIM Domain And Actin Binding 1","Protein Coding","Q9UHB6","50","GC12M050175","1.54541754722595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMA1"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","P28340","59","GC19P133473","1.54485154151917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1"
"E2F4","E2F Transcription Factor 4","Protein Coding","Q16254","56","GC16P067192","1.54319858551025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F4"
"ATR","ATR Serine/Threonine Kinase","Protein Coding","Q13535","66","GC03M142449","1.54267966747284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATR"
"CASC9","Cancer Susceptibility 9","RNA Gene","","23","GC08M075132","1.54267966747284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC9"
"FHL1","Four And A Half LIM Domains 1","Protein Coding","Q13642","58","GC0XP136146","1.54145705699921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FHL1"
"CETN2","Centrin 2","Protein Coding","P41208","54","GC0XM152827","1.54117393493652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETN2"
"HOXB3","Homeobox B3","Protein Coding","P14651","49","GC17M048548","1.54012477397919","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB3"
